zipcode,superzip,rank,city,state,adultpop,households,college,income,centile
1562,0,8.863332833439587,Spencer,MA,7798,3107,17.73532%,4.307078117053082,49
1564,0,7.682482446534506,Sterling,MA,4884,2078,35.85176%,4.611258613838646,49
1566,0,7.938445551164788,Sturbridge,MA,3946,1614,36.8221%,4.463800151325328,49
1568,0,7.0192966537150445,Upton,MA,3762,1565,44.86975%,4.756739537051082,49
1569,0,8.185628891147607,Uxbridge,MA,7192,2993,26.86318%,4.52018250539746,49
1570,0,9.155356063643422,Webster,MA,10789,4080,15.9329%,4.173352888954232,49
1571,0,8.727454116899434,Dudley,MA,7002,2879,20.6084%,4.3239876126240775,49
1581,1,6.577861357721047,Westborough,MA,11948,4491,53.15534%,4.817956283585866,49
1583,0,7.942717540573791,West Boylston,MA,4330,1772,34.41108%,4.508080263380677,49
1585,0,9.020994200245264,West Brookfield,MA,3946,1446,17.76482%,4.208220567960042,49
1588,0,8.592115117933497,Whitinsville,MA,5557,2275,23.73583%,4.338245317758669,49
1590,0,7.562681246721884,Sutton,MA,5356,2294,35.99701%,4.662642550540357,49
1602,0,8.17948018535889,Worcester,MA,15738,5992,37.08858%,4.310683145505745,49
1603,0,9.417191926513414,Worcester,MA,11254,4200,14.17274%,4.0599903218914735,49
1604,0,9.081483749851179,Worcester,MA,23498,8084,21.41884%,4.069642291251754,49
1605,0,9.464905067965136,Worcester,MA,15279,5706,20.80633%,3.8053774422280675,49
1606,0,8.760296220470051,Worcester,MA,13994,4966,24.02458%,4.219437114449346,49
1607,0,9.900031587562738,Worcester,MA,4812,1887,10.39069%,3.780782928590649,49
1608,0,10.04615830370029,Worcester,MA,1710,729,14.73684%,3.0869495433633185,49
1609,0,8.39773375137891,Worcester,MA,11661,3855,35.94031%,4.18371029055032,49
1610,0,9.909519324767848,Worcester,MA,11722,4327,12.44668%,3.682076617200736,49
1611,0,8.826147399143558,Cherry Valley,MA,1542,611,17.63943%,4.333315004920542,49
1612,0,7.269616749608169,Paxton,MA,2739,1161,44.24973%,4.6564258796687445,49
1701,0,6.975413927455952,Framingham,MA,22729,8706,49.78222%,4.697211392151838,49
1702,0,8.38958706681109,Framingham,MA,24263,7940,35.30066%,4.206702538448215,49
1718,1,null,Village of Nagog Woods,MA,302,117,76.82119%,4.819561951906486,49
1719,1,5.236441962829949,Boxborough,MA,3115,1296,72.13483%,4.973860653533338,49
1720,1,5.442417710521793,Acton,MA,13148,5399,69.13599%,4.953624634046061,49
1721,0,7.29776828253138,Ashland,MA,10282,4072,45.58452%,4.6199021359646055,49
1730,1,6.226536669287466,Bedford,MA,9078,3456,57.31438%,4.884115453466235,49
1731,0,7.88193748927207,Hanscom AFB,MA,1507,790,50.76311%,4.1831521306491695,49
1740,1,5.497168225293202,Bolton,MA,2768,1193,67.30492%,4.959238134665796,49
1741,1,3.6635616461296463,Carlisle,MA,3146,1406,83.4075%,5.226482424487584,49
1742,1,5.313205979041787,Concord,MA,12102,4451,66.10478%,5.02224036072927,49
1745,0,null,Fayville,MA,285,95,36.49123%,4.945916845661628,49
1746,0,6.913737350659685,Holliston,MA,9017,3835,50.79294%,4.709408572294204,49
1747,0,8.142063283104147,Hopedale,MA,3978,1531,28.60734%,4.508584503075421,49
1748,1,6.169610732491456,Hopkinton,MA,8401,3670,57.69551%,4.898544029534979,49
1749,0,8.130353547431238,Hudson,MA,12563,4880,28.40086%,4.518757902233539,49
1752,0,7.874739125171811,Marlborough,MA,25512,9374,35.60677%,4.522173502955557,49
1754,0,7.7336835707759,Maynard,MA,7409,2806,38.21028%,4.543121894985433,49
1756,0,7.615298339825815,Mendon,MA,3472,1475,35.8871%,4.641898372298694,49
1757,0,8.441391477999955,Milford,MA,18560,7316,26.55711%,4.376260039779544,49
1760,0,6.843749949006225,Natick,MA,23034,8544,52.49197%,4.718077353897689,49
1770,1,4.330733340286331,Sherborn,MA,2728,1233,75.62317%,5.182398529692809,49
1772,1,5.214935757608986,Southborough,MA,5343,2322,64.47688%,5.066822792305685,49
1773,1,4.30406509320417,Lincoln,MA,3659,1489,76.93359%,5.170277723765696,49
1775,1,5.991464547107982,Stow,MA,3962,1682,61.8627%,4.898348625701011,49
1776,1,4.700480365792417,Sudbury,MA,10824,4836,71.88655%,5.138792186600913,49
1778,1,5.2574953720277815,Wayland,MA,9075,3754,68.48485%,5.011219123634619,49
1801,0,8.198089248956116,Woburn,MA,26829,9695,29.46066%,4.463348178134403,49
1803,0,7.282073658093465,Burlington,MA,16020,6428,42.61548%,4.675789866836174,49
1810,1,5.8916442118257715,Andover,MA,20897,8594,62.50658%,4.920437755772004,49
1821,0,8.242756345714477,Billerica,MA,19531,7972,23.74174%,4.546136485484965,49
1824,0,7.084226422097916,Chelmsford,MA,17723,7076,45.28579%,4.7260462111947,49
1826,0,8.531884740159228,Dracut,MA,19175,7756,20.13038%,4.452272004790179,49
1827,0,6.940222469119639,Dunstable,MA,1830,800,44.20765%,4.794688285438593,49
1830,0,8.615770754777232,Haverhill,MA,16357,5852,21.2753%,4.376260039779544,49
1832,0,8.73052880173936,Haverhill,MA,14118,5621,22.11361%,4.286394615584849,49
1833,0,7.516433302915632,Georgetown,MA,4869,2013,38.40624%,4.64582256612464,49
1834,0,7.827240901752812,Groveland,MA,3956,1743,34.15066%,4.572204437691122,49
